,Worker 0,Worker 1,Worker 2,Worker 3,Worker 4
0,"[1.0059880018234253, 1.0059878821324821, 0.9887493888055435, 1.0059233044133042, 0.9082965410131999, 0.969915755168356, 0.8768172252358812, 0.8539218971343956, 0.8503370244876303, 0.8414191854933296, 0.7893700510835406, 0.7872040852001219, 0.7713313974236901, 0.7865678916209274, 0.7525660789434356, 0.7151071462396419, 0.6860039501298557, 0.6952089476419819, 0.667099220778304, 0.6690163591338528]","[1.0059880018234253, 1.0059878823733088, 1.0042836675499425, 1.0039525223741628, 0.9998317404046203, 0.9724300682364088, 0.9542207831505574, 0.9063617516948719, 0.8423784502046276, 0.7985722046759394, 0.7795842032420515, 0.7675083707965383, 0.7582316434654323, 0.7432509891733978, 0.7430561235155723, 0.7249994152603727, 0.7100787896956459, 0.7294031276004483, 0.6759232657598425, 0.6911343992629436]","[1.0059880018234253, 1.0059828176402081, 0.973393141549043, 0.9899443346924252, 0.8282482930716842, 0.9656129754372318, 0.8857684593128435, 0.9202377933263779, 0.933673666384485, 0.8594442785328085, 0.8081717224494376, 0.7605267434469377, 0.7414199670976159, 0.7316458360775553, 0.6961961417788207, 0.6788627172329209, 0.6848231393595536, 0.6736176793999744, 0.6628910001254443, 0.6491839369785304]","[1.0059880245815624, 1.0059870137831177, 1.0044442252558892, 1.0001207699318124, 0.9919374393935155, 0.9169904907303628, 0.9540487435429987, 0.8806142540832963, 0.8584464985312837, 0.8299813840184549, 0.8080738045922433, 0.7512033993908853, 0.7508778116091935, 0.7219542208599924, 0.6951688405570358, 0.6995877478068525, 0.691472558951137, 0.6870536095611375, 0.679982990869368, 0.6887968159594922]","[1.0059878826141357, 1.0059878826141357, 1.0059655266337924, 1.0059139070366367, 0.9418862518306934, 0.9942869980046244, 0.8571633084434451, 0.8571417163839243, 0.8219816744146925, 0.8038278450387897, 0.7726658299926555, 0.7306238924388332, 0.6912332826190525, 0.6867546356717745, 0.6766252282773606, 0.6628295952969729, 0.6634913811629469, 0.6496340636623026, 0.6563073390421241, 0.6592662926244013]"
1,"[1.0059880245815624, 1.0059870644049211, 1.0057336541980204, 0.9625538663430647, 1.0017425319281492, 0.999167535509726, 0.968226223786672, 0.9005968580944369, 0.9072068148309534, 0.8755381703436976, 0.8365670909243401, 0.7937507253930424, 0.7492819935068338, 0.6962273303193577, 0.673238177052652, 0.6626064803609343, 0.6363658966711073, 0.636874877396557, 0.6461833788725463, 0.6395171930482894]","[1.0059880018234253, 1.0059877634048462, 0.9934000948462823, 1.0053294952951297, 0.9824462500365093, 0.9622599315643311, 0.7970595124168227, 0.8203414861571909, 0.7778944756286312, 0.7692749424564718, 0.7453693573824083, 0.7341647653838601, 0.7377198149549841, 0.7310746230711841, 0.6789256845565156, 0.6908049528631899, 0.6413698575713418, 0.6461728068079913, 0.6391895583964358, 0.6303228108976224]","[1.005987999631901, 1.0059877463302227, 1.0032491440965672, 1.0056594134099557, 0.9500094679931198, 0.8828793903703641, 0.9773458846410116, 0.9086689175560017, 0.9040357175800535, 0.8605890477967985, 0.7921881348135495, 0.7487088308942439, 0.6899618008958571, 0.7012369244598379, 0.6949363842757061, 0.6764614555119264, 0.6709990204358944, 0.6670528197032635, 0.6409501735083383, 0.6489299511728864]","[1.0059881210327148, 1.0059878826141357, 1.0032693681572422, 0.9835898388877059, 0.9835775161271143, 1.0039319020449513, 0.9996685845081252, 0.9619157628579573, 0.8740537067374797, 0.8469352979732282, 0.8315009932265137, 0.7931419834916038, 0.7504749439325598, 0.7279412885988602, 0.7166513222320513, 0.6957067307212738, 0.7106171968594344, 0.7043789513830585, 0.6898851566528431, 0.6969031598080289]","[1.0059880018234253, 1.0059647538926866, 1.0057718884102023, 0.9995744612963513, 0.982684096733127, 1.004992899846549, 0.9615799074281346, 0.9326883154264605, 0.8799188774884349, 0.8202678651550803, 0.8010386292801963, 0.7605131473369671, 0.7449882447749677, 0.7220382286472754, 0.7335952273357396, 0.7124573049069655, 0.701920833071374, 0.6870018313072547, 0.686083271840606, 0.682660013911399]"
2,"[1.0059880018234253, 1.0059881177574697, 0.9949399278982721, 1.0015978057095498, 0.9692694854977155, 0.9484767860294593, 0.9817903004270612, 0.8916463971439034, 0.8720109638782463, 0.8206678752435578, 0.7925225327833735, 0.78429683239171, 0.7474123229537949, 0.7291152093657339, 0.708157445999107, 0.6873847951958276, 0.6695061904854245, 0.6700772851555035, 0.6412300259160875, 0.6515489733008423]","[1.0059880018234253, 1.0059868789441657, 0.9972185245547632, 1.0031103965850792, 0.8370627783554973, 0.9604878573827069, 0.9556394791302055, 0.9824654818785311, 0.9176507073279583, 0.8693841669535396, 0.8317873633720658, 0.8081148362099523, 0.7833807504387817, 0.7625886925964644, 0.7490528240799904, 0.7298274672362539, 0.7137642789173005, 0.7281319121248795, 0.6888421045356627, 0.6830796588024106]","[1.0059880018234253, 1.0059878826141357, 0.9887547632178875, 1.0013529331756361, 0.9522854035611105, 0.9672741862138112, 0.8258916487868386, 0.9372881268190615, 0.8927517210112678, 0.826637409505519, 0.768689769228751, 0.7294010145495636, 0.6871749109601734, 0.6849159149313816, 0.6609517522667996, 0.6745099801186359, 0.6474411822915679, 0.6507446777429243, 0.6328875291663589, 0.631999384917394]","[1.0059880018234253, 1.0059878826141357, 1.003782179909523, 1.0023452699304831, 0.984975925467231, 0.957867017550902, 0.9130603069518551, 0.8237026387152045, 0.8465229340574958, 0.8736861518717776, 0.8411878060541972, 0.7996932004843698, 0.7590593907793965, 0.7467563466682579, 0.7150100887002367, 0.6929013243633689, 0.6703639308822276, 0.6574723506952175, 0.6445099315845003, 0.6331773362662455]","[1.0059881210327148, 1.0059879769219293, 1.0057560365489036, 1.002565587301447, 0.9140073453597348, 0.9381720833374997, 0.9241933399077618, 0.8380557479942687, 0.8347719718049271, 0.8296958418657081, 0.8397834094275127, 0.7804135043211657, 0.7481426075567501, 0.7337005036738183, 0.6981055053436395, 0.680901300144015, 0.6692634421752559, 0.6457359474957591, 0.6456977895248418, 0.6483624956643943]"
3,"[1.0059880018234253, 1.0059488509158896, 1.0055621460230664, 1.0048679244638694, 0.9987120164283598, 0.9218176396988859, 0.9369111119316081, 0.9118187891052227, 0.9672058286149092, 0.9195741937076203, 0.8120641173949146, 0.7614967697091175, 0.7167484696691084, 0.7241423229587198, 0.7051429621288271, 0.7053162304906532, 0.6929460311989591, 0.6538439756451231, 0.6692369409944072, 0.6477643530130989]","[1.0059880018234253, 1.0059880215471442, 0.9681700316342441, 1.0038257870650051, 0.9610571032882941, 0.949337808242952, 0.8629577731845355, 0.9012376455104713, 0.8757356300664069, 0.7820351311624653, 0.7356510729952292, 0.7178209141754743, 0.6918045571130333, 0.6864880969262485, 0.6558604056952577, 0.6315397659523619, 0.6492817791333102, 0.6237158276998636, 0.6271393262617516, 0.6158847349490782]","[1.0059881188411905, 1.0057698324232391, 1.0059449861266396, 1.0051564845894323, 0.9522617795280736, 0.9292624007872861, 0.9153605035730082, 0.9293744911208297, 0.8735130045329682, 0.8514453671947875, 0.8006054609246326, 0.7870298361582587, 0.7470351870222525, 0.7382964349184373, 0.6864502125541971, 0.6784039836504845, 0.6555469286652527, 0.6527280308486837, 0.6373876585924264, 0.6313151506914033]","[1.0059880018234253, 1.0059872878440703, 1.0052213268328194, 1.00573956489563, 0.830837877906031, 0.9781403972283759, 0.9205555568620412, 0.8613602537940247, 0.8682323622221898, 0.9048952010845898, 0.8337905537239229, 0.7743539137957675, 0.7171869503699168, 0.6987172548713708, 0.7064866050987533, 0.6638642600660373, 0.6692529313838241, 0.6595788280658349, 0.6383715303317465, 0.6311711091736351]","[1.0059879372577474, 1.0059876441955566, 1.0056652101121768, 0.8443400952611306, 1.0012846935397446, 0.9856598696202943, 0.9915500739969388, 0.9740605538662034, 0.8800076280519216, 0.8066664252422675, 0.7806121455494202, 0.7311433260774973, 0.7154807725082142, 0.6729672403934628, 0.6889036999432125, 0.6645424779045461, 0.6655605190510702, 0.651263637572828, 0.6592457220695838, 0.6404826103993738]"
4,"[1.0059880018234253, 1.0059819068571534, 0.9927779837328978, 0.9975369522788308, 0.9685748645392331, 1.0053080348053365, 0.9958384114022206, 0.8375230995708643, 0.7517818200814002, 0.7155355808801122, 0.7026440044530112, 0.7111862790539409, 0.6884722777952751, 0.6634972177942594, 0.6762767342621028, 0.6471424759894309, 0.6217151054890468, 0.6113924703001976, 0.6339946969967298, 0.6050035815362377]","[1.0059880151170673, 1.0059878826141357, 1.0059876441955566, 1.0023277163144313, 0.9627353128279098, 0.8872893038903824, 0.893824406594339, 0.8937631966218804, 0.8645313722422027, 0.8273962397436903, 0.7850956037128815, 0.7818700399618558, 0.7195092061613545, 0.7351985779615363, 0.685291337984981, 0.6746464282635487, 0.6571510456035835, 0.6471780029872451, 0.6447468892221498, 0.6210408747482179]","[1.0059880018234253, 1.0059876441955566, 1.0057704309983686, 1.005646746905163, 0.9413278409838677, 0.9539071015396503, 0.9078872496070284, 0.937211803595225, 0.8734063482254443, 0.8531039813190999, 0.7970050132214421, 0.7693572912237259, 0.7633515946055301, 0.7537893204616778, 0.7380839506815178, 0.7247209226859338, 0.7295663795763194, 0.7043414054118624, 0.6936600779553856, 0.7043406795251249]","[1.0059880018234253, 1.0059754315048757, 1.0042178372301236, 0.9929629663024285, 0.9953151227609076, 0.9652054357227653, 0.9082759713644933, 0.8768201958470875, 0.9264835420732547, 0.8557922458437958, 0.7875565330082118, 0.7096304327746232, 0.7026728521934663, 0.6694861069426994, 0.6491291648570937, 0.653841590614933, 0.6371265129353663, 0.6136008475013454, 0.6283581526592524, 0.6231623154366859]","[1.0059880004988777, 1.00598817777152, 0.9991295366696638, 0.9653559847913608, 0.9042505647708671, 0.9270736932032037, 1.002887627705179, 0.9406625047416398, 0.8695070948143198, 0.8486046334739887, 0.7824634048794256, 0.7326624179021879, 0.7097583501823623, 0.6894736733686442, 0.685076979026951, 0.6607324765261375, 0.6474449619605686, 0.6676988733326545, 0.6418716894075124, 0.6349731217234423]"
5,"[1.0059880018234253, 1.005987524986267, 0.9990528046603154, 0.977750556625501, 1.001338395097039, 0.9839591218485977, 0.9967206192618668, 0.9498126714518575, 0.9415402799904948, 0.8822836481501358, 0.801765194414842, 0.7563029670895952, 0.7300681250023119, 0.7254275199153809, 0.7091836117990691, 0.6782434247945897, 0.6831514297666573, 0.653230995638202, 0.6626075787164948, 0.6443865279040554]","[1.0059880018234253, 1.0058903389988523, 0.9919698250775385, 1.0004040164538104, 0.9050591000493127, 0.9476066962305946, 0.8853092631005277, 0.8765827905860815, 0.8347901966806615, 0.8621763779478844, 0.8101381967675806, 0.7985309016042286, 0.7830114526760699, 0.7601222570661944, 0.7588682250226989, 0.7279738931944876, 0.7126317864551086, 0.6860451784805216, 0.6807844614801984, 0.634907317322613]","[1.0059878839386833, 1.0059878698021474, 1.0059521618756382, 0.9989697117516488, 0.9930048378549441, 0.9272667987057657, 0.9583768288113854, 0.8928004284157898, 0.9162008113993538, 0.8749046342812403, 0.8068439234732979, 0.7532616438182316, 0.715037307749794, 0.7187879666911833, 0.7162742476180346, 0.7104274954278059, 0.7102471675926989, 0.7137085049320953, 0.6861248451832569, 0.6852214880784353]","[1.0059878826141357, 1.0059073463353243, 1.0059466403662556, 1.004885798331463, 0.9551610285465163, 0.961852835212091, 0.8962028916315599, 0.8612798933308534, 0.8388664718649604, 0.8426892954080996, 0.8266995726149492, 0.7884739327671552, 0.7550688965483145, 0.7465177723900839, 0.7186650713977187, 0.6752474345296923, 0.6866130516489949, 0.682438317665247, 0.677693658717955, 0.6475842454201646]","[1.0059880018234253, 1.0059878826141357, 1.003306650079862, 1.00521141724153, 0.8156683660577042, 0.9301659503549037, 0.9235522258943981, 0.8687309448285536, 0.8803094054532774, 0.8462492361995909, 0.7812289961931681, 0.7565648680654439, 0.683688949710793, 0.6369318283025664, 0.6123008033031165, 0.5991984245978823, 0.599766628651908, 0.5911172943840726, 0.58377934342984, 0.5802467496858703]"
6,"[1.0059880018234253, 1.0059879639172795, 1.0059792799660654, 1.0030054463400986, 0.9543380515864401, 0.9754315317218953, 0.8032457673369032, 0.8642964375470624, 0.8098660783492254, 0.753300768728509, 0.7470541889950483, 0.7336506888706876, 0.7127418835897639, 0.699462044335375, 0.693569249098349, 0.6733499133744926, 0.6519406328357832, 0.6451074679376501, 0.6272358909565391, 0.6174833608335919]","[1.0059880018234253, 1.0059371179282064, 1.0053201412672947, 1.0023530152108935, 0.9841268443414057, 1.0041476613102538, 0.9885445641929453, 0.9801946457768932, 0.9600853113815038, 0.8450254351472614, 0.7490794166711846, 0.7199934833654852, 0.7038741333225761, 0.6607552363580526, 0.6753558968865511, 0.6590236404944549, 0.6610329882996251, 0.6436343043305055, 0.673464078587113, 0.6512459955612818]","[1.0059880906885321, 1.0059875561733438, 0.9941230779344385, 0.9883571385193353, 0.9854129074860101, 0.849309309739055, 0.8871966248449653, 0.8308484236369229, 0.8544300344315442, 0.8267717809869786, 0.7824249870909585, 0.7497075324016388, 0.7247749823060903, 0.6937182734003573, 0.6837076416762188, 0.6949447564675351, 0.6634538188742267, 0.6622882840172811, 0.6378873706390762, 0.6326900946431689]","[1.0059881210327148, 1.005987225903405, 1.0059878826141357, 1.0043421405252784, 0.9809554686449995, 0.9775047754157673, 0.9331320484539475, 0.971760677978246, 0.9029813703187186, 0.7754548576082846, 0.742424287585297, 0.682068246575919, 0.6549123611444174, 0.623376695601025, 0.6136649721529749, 0.5911674669234439, 0.6070265269806289, 0.5981258079379496, 0.6005725827888407, 0.6003390285688819]","[1.0059878826141357, 1.0059545960089173, 1.0058209396853592, 1.004447822016899, 0.9338400671307486, 0.832238829461011, 0.83667190705887, 0.8717609637734866, 0.8584981278548337, 0.8075639204997005, 0.7866295195950402, 0.7677618963444474, 0.716691613706826, 0.6898496721112969, 0.6899986409298097, 0.6641104797462021, 0.6419902055161167, 0.6436052981184589, 0.6495043136901928, 0.6450029652949536]"
7,"[1.0059878826141357, 1.0059877634048462, 1.005987524986267, 1.0025774337185753, 0.9688339455320377, 0.995583004493906, 0.9440814392915879, 0.92913121432367, 0.9452484005930448, 0.873256183700128, 0.807303206133421, 0.7575227711357252, 0.7185899505831979, 0.6887026135879334, 0.6439267541964849, 0.6506960185444114, 0.6397591055448008, 0.6254750916422015, 0.6331854875385762, 0.6185222799323424]","[1.0059880018234253, 1.005972964715476, 0.9979616445965237, 1.0037805285357466, 0.9144420689705647, 0.9630635546313392, 0.8597709621383687, 0.8101091513624697, 0.8448744357294506, 0.837995775489494, 0.8182686717100818, 0.7721633437968264, 0.736414816701653, 0.7128638876793962, 0.7218100398869225, 0.7112077288103826, 0.6972932997978095, 0.6814471409883764, 0.6705253945938264, 0.654938756036337]","[1.0059880018234253, 1.005979493748058, 1.0058681180982878, 1.005813692940606, 0.9519346738222874, 0.9137741201845082, 0.8668959012672757, 0.8574229870721547, 0.8051478562812613, 0.798692718717185, 0.7637713847316877, 0.7333997339792926, 0.7076875935374486, 0.6787613346766341, 0.6330299679618894, 0.6097497701306235, 0.6137578136044921, 0.6189907350022383, 0.5909567575292154, 0.5903058122775772]","[1.0059880330345847, 1.0059785723686219, 1.0058586002600314, 0.9943501555076754, 0.8376939649879932, 0.9820660727313071, 0.9088990047062286, 0.9116542632049984, 0.8703655562181063, 0.7270323581662443, 0.6971691861914264, 0.7008202498699679, 0.6956211576588226, 0.6769890117961349, 0.6622582991917928, 0.645225621140515, 0.6365199049976137, 0.6197478808221792, 0.6131902249639083, 0.613044473456614]","[1.0059880018234253, 1.0059617821857183, 1.0053441372543874, 0.9790327383171429, 0.8693466443636201, 0.9712435386096588, 0.9386698983414005, 0.9367115675259118, 0.8617469959578129, 0.8368873164238352, 0.7815362135298325, 0.7703311228631723, 0.734121844946134, 0.7181947835745535, 0.6985871713360151, 0.6853630285552054, 0.6679740669525633, 0.6672449183674773, 0.6475642907694734, 0.6319114194163168]"
8,"[1.0059880018234253, 1.0059877662225203, 1.005546752611796, 1.0038899338124978, 0.9774670500105077, 0.9549082251148995, 0.9685973762442367, 0.9818432460529636, 0.8129467719988992, 0.7619652241603895, 0.7418538175101834, 0.7182789303407524, 0.7061829654872418, 0.7102239025963677, 0.68383278037412, 0.6831284636861146, 0.6752062934381191, 0.690659572418892, 0.674342132815809, 0.6639208402958783]","[1.0059879374744916, 1.0059585012811603, 0.9978683222664727, 1.0053799423063645, 0.9985992552896943, 0.9813481616130983, 0.9636346610447373, 0.9201335044641687, 0.8822819536984569, 0.8445115681429102, 0.8152440660063065, 0.8122157822127896, 0.7673725649940245, 0.7500350757003432, 0.6966911104261273, 0.6919180450686301, 0.6791531639267699, 0.6561129846446442, 0.6424325760807654, 0.6192347248079199]","[1.0059880018234253, 1.005988005508076, 1.0053550714675825, 0.9934645474017268, 0.9644009776308079, 0.9085608117207132, 0.9750835325440975, 0.9186337160883528, 0.8752283458035401, 0.8041712027065682, 0.7619333415380632, 0.733178793319849, 0.7027213618099087, 0.6806149417628543, 0.6832135853607847, 0.6767386083771484, 0.6837223489191195, 0.6637923120534179, 0.6787527900979374, 0.6618282265765498]","[1.0059879977052861, 1.0059879779815675, 1.0059786367416381, 0.9927778993050257, 0.9846368271533888, 0.9662122106672537, 0.9416355371113979, 0.9073171349848159, 0.9185801766857956, 0.842686877220568, 0.8282602848729702, 0.773832224601447, 0.7645409787739769, 0.753664174152143, 0.728444408246062, 0.7299327908712204, 0.7167264231768521, 0.6919076688497355, 0.692718975554512, 0.6693102694265168]","[1.0059880018234253, 1.0059790251953433, 0.9984009428578193, 1.0055317341438448, 0.958650158908632, 0.8777269236306952, 0.8688841931717565, 0.8794967584658151, 0.8838865924182564, 0.8082438970771101, 0.7453622921300356, 0.7056953513012691, 0.7113099373342714, 0.6855759784895362, 0.6695016472131917, 0.6474854049222036, 0.6404898264552608, 0.6305311408127197, 0.6269070821925246, 0.6158521824427927]"
9,"[1.0059880018234253, 1.0059273850556576, 1.0054068067218318, 1.0051042403837647, 0.9567667891717319, 0.9514066021249752, 0.9073754254073808, 0.89294615346976, 0.8026089720172112, 0.783472952470936, 0.779736350810889, 0.7723776232052331, 0.7561833956145277, 0.7374816049846133, 0.7172442262506846, 0.7080106686040608, 0.69761581564943, 0.679802049476691, 0.678098946894058, 0.6626228619419565]","[1.0059880018234253, 1.0059881143858938, 1.0046029274873058, 1.0042171265621378, 0.9829850803360795, 0.9731455823869416, 0.9251000101638562, 0.970560071654994, 0.9033810184941148, 0.8690721511344115, 0.7992772841686854, 0.7614155042653132, 0.7330801241957781, 0.7267701428361011, 0.7106008680164814, 0.6817541241028694, 0.7001069526615167, 0.6648092446468695, 0.6662968072957463, 0.666394586138653]","[1.0059880018234253, 1.0059420162499553, 1.0059878826141357, 1.0026122072128334, 0.9775258160480346, 0.9385548592817904, 0.9181093912774866, 0.9294926457633876, 0.870743496908684, 0.7966610550549296, 0.7540777244396282, 0.7259596164343936, 0.7082103325802871, 0.6908609516452057, 0.6695772112093189, 0.6678834097900174, 0.6668337809166522, 0.6683619677027066, 0.6657653519165034, 0.6672606473318254]","[1.0059880018234253, 1.0059876625947277, 1.005987881747159, 1.004784404003259, 0.9745416550112493, 0.9580964457326465, 0.8959158251682917, 0.8823592164630841, 0.8201022611407921, 0.7346684996196718, 0.7169985359199721, 0.6874193606171946, 0.6953327344689104, 0.6965150124602245, 0.699441511111729, 0.6881464200128209, 0.6762611052529378, 0.671078847761106, 0.6650944472683801, 0.6402327609814779]","[1.0059880063991353, 1.0059875477444042, 0.999297238443837, 0.9981543617537527, 0.973159516507929, 0.9402021044673342, 0.93197174649648, 0.9371863966156738, 0.835874549797689, 0.7943242706825034, 0.7676096313243562, 0.7490355001751221, 0.7154901239832845, 0.728096970903753, 0.6855661556546134, 0.694647459959743, 0.6767174481322067, 0.6628666401963041, 0.6556151043631212, 0.6458103769400505]"
