,Worker 0,Worker 1,Worker 2,Worker 3,Worker 4
0,"[1.0059880018234253, 1.0059849625886088, 1.0059881149397956, 0.9945098641364262, 0.9341891730704693, 0.9782912339465787, 0.9469436564228751, 0.9430221850944288, 0.8355345988484344, 0.8216720065790596, 0.744133058155727, 0.7517230636799577, 0.7040018423232768, 0.6873458366065917, 0.6373782545072262, 0.6480170890192191, 0.6183402481900924, 0.6024573797845479, 0.5874853636505026, 0.5781958934288435]","[1.0059881098342665, 1.0057212938202753, 0.98566794433377, 1.0059877489552354, 0.9288193374812, 0.9548819016386764, 0.8520096385990731, 0.8295023716880817, 0.7662598526342349, 0.8022298320540876, 0.9839414845512371, 0.994467085660106, 0.7403059906730748, 0.7229310761497478, 0.7049029985326107, 0.7374192108981537, 0.7129333661918086, 0.7115326142762647, 0.7123397906004179, 0.6671561513675583]","[1.0059880018234253, 1.0059878826141357, 0.9991259999588282, 0.9312761183880797, 1.0052882361412048, 0.8671875595775518, 0.9740726214225847, 0.8380079093560426, 0.9552769274061377, 0.738784751000278, 0.7795029215800642, 0.7673593318462372, 0.7147765311373002, 0.6609622636204115, 0.6549271236736365, 0.6282810892390482, 0.5934589025784622, 0.5926842354749791, 0.5844415308241592, 0.5836693843612165]","[1.0059880018234253, 1.0059868168830872, 0.9906162893049645, 0.9960051364128035, 0.9601219921220433, 0.9635383719025237, 0.9271046591918878, 0.8436574681931072, 0.9477969336449498, 0.7092195524184993, 0.7940432870538547, 0.7563411828198217, 0.7061564519038104, 0.6976842312484679, 0.6819365967704792, 0.6704325884806387, 0.6738271034817503, 0.6626321563576207, 0.6622695803040206, 0.6514709254903625]","[1.0059879367760938, 1.0059880018234253, 1.0057652042851304, 0.8768363993276249, 0.9577426397288689, 0.8598096799730051, 0.8333916283135462, 0.7683350817814018, 0.969604078627596, 0.8839299366450069, 0.7161451423710042, 0.7470363584221011, 0.7154057270995896, 0.67749088399338, 0.6402247777490905, 0.6549699574483163, 0.6225671579335073, 0.6203490010987629, 0.6245236570034364, 0.6239242672980434]"
1,"[1.0059878826141357, 1.0059753950677737, 1.0059879913474574, 0.9831873643879938, 0.8430646927368761, 0.9558631657079013, 0.963683492270383, 0.9416487542246327, 0.9080813111861546, 0.785469927592109, 0.7252952140464325, 0.7556128225558334, 0.7080239629956206, 0.6842730715103221, 0.6576838316911399, 0.6641783169664518, 0.6499177441271868, 0.6385678951397087, 0.6223115237358242, 0.642338720194318]","[1.0059878826141357, 1.0059876441955566, 0.99749789048927, 1.0026906211087199, 0.963968772129579, 0.8914972055439997, 0.9474923684229755, 0.8024997661902447, 0.8950093719152489, 0.8301221509217613, 0.7888644458910431, 0.8011723118012, 0.7611450446540057, 0.7564548949355429, 0.739983905099257, 0.73366773895242, 0.7319132950661158, 0.7031295865021571, 0.6998653982956, 0.6838624722472947]","[1.0059878826141357, 1.0059877634048462, 1.0029346413684614, 0.9976314573456543, 0.9405289829740621, 0.9030201644728882, 0.9229221343873727, 0.852152665823397, 0.9650019748523981, 0.8142500894117837, 0.7620056249878623, 0.7889228742351435, 0.7346247791039823, 0.7234464744862282, 0.6835335912472672, 0.6868203963399535, 0.6658734888681258, 0.6752617271711128, 0.6508972322037726, 0.6501911348556028]","[1.0059881210327148, 1.0056850614451398, 1.0042271428878862, 0.993094651903769, 0.9276621498543807, 0.8827586432087301, 0.7771922148252376, 0.7668019719888466, 0.8793257056944298, 0.6861346270881518, 0.7303688598657497, 0.7468618936595892, 0.6787338596160966, 0.6883584617559958, 0.6707740823141854, 0.6768933952366463, 0.686483464448741, 0.6817004942939137, 0.6762602232742791, 0.6870545778340763]","[1.0059881210327148, 1.0059878826141357, 1.0041587986368121, 0.981597291110742, 0.994371824162175, 0.8396993393247778, 0.9848014373610718, 0.8020903052133743, 0.8904789297448265, 0.7557988696402371, 0.7032581483264162, 0.7118802498416467, 0.6943176978284662, 0.6812485412034122, 0.6475286529070199, 0.6553518892267738, 0.6645091124676695, 0.624528596485504, 0.6177874502343963, 0.6139201976208374]"
2,"[1.0059880018234253, 1.0059773338202274, 1.0058384861849776, 0.9958953537182375, 0.8208382102169773, 0.9420867898066838, 1.001948489179515, 0.9400365193203242, 0.8706392477678531, 0.7753442307809989, 0.8427925066002692, 0.8109802568560899, 0.7512646770913793, 0.7187275798272605, 0.6692481823641845, 0.6670328553487556, 0.6553208838764465, 0.6496100249073722, 0.6208108056886028, 0.6452847113964534]","[1.0059880018234253, 1.0059774726087396, 1.005987822768664, 0.9190552823832541, 0.9986029348590157, 0.8678033508375438, 0.9321531602318841, 0.7916140189751832, 0.7556113378507923, 0.8241744753628066, 0.7940877208324394, 0.9245641419622633, 0.7726485545286025, 0.7568224793777923, 0.7352299586796399, 0.728866692697159, 0.7164504159610681, 0.6950052202229547, 0.6770189623609938, 0.7010747096333841]","[1.0059881058606235, 1.0059877443313598, 1.0052909694175527, 0.9462022988061712, 1.0028893368653578, 0.9277974115236841, 0.8154192220923876, 0.8065105761121018, 0.9234860903145087, 0.7719280757235758, 0.7268117958487886, 0.7412394176039732, 0.6987146619022495, 0.6927513323287772, 0.6708174215212013, 0.6826969688588923, 0.6618377990313251, 0.6581924470641999, 0.6558529354255609, 0.636792841893856]","[1.0059880018234253, 1.005987716515859, 0.989253621420475, 0.9962638150441526, 0.9785125236438983, 0.9297689972501813, 0.9719533461633355, 0.8746593128521033, 0.8194142847019013, 0.7636589625086447, 0.9809040799104806, 0.7948068265752359, 0.744302894707882, 0.7297763001647862, 0.7109737575897063, 0.7132002207666936, 0.6831808799806267, 0.6865430694969014, 0.6695376832015587, 0.6624580458619378]","[1.0059880018234253, 1.0059878826141357, 0.9746198766159289, 1.0011846151616839, 0.9372590786609987, 0.9744282838611892, 0.871564435085865, 0.8628075013798897, 0.9432846569593507, 0.8322823001640012, 0.7694742790120419, 0.8288602315988204, 0.7295163160095913, 0.7073490041622309, 0.7011679527675263, 0.6918994618365258, 0.6878079152498583, 0.6752755139045643, 0.6878523168840793, 0.6816059229199333]"
3,"[1.0059880018234253, 1.0059878826141357, 1.003365848750779, 1.0058898634621591, 0.8733882342414423, 0.8619781413945284, 0.7483534181945853, 0.9687918818237805, 0.7198370789548363, 0.7021722902718819, 0.7195767374923735, 0.9919550731567421, 0.7012542712959376, 0.7068674145307806, 0.6965637731356452, 0.7018373967677054, 0.6942241505540983, 0.6682998584843043, 0.6485121179740838, 0.678551589461288]","[1.0059880018234253, 1.005854871104462, 1.003297325481068, 0.992890397346381, 0.8756462993886736, 0.9149743299412005, 0.8535886803239283, 0.9807974833310252, 0.7179420685911119, 0.8300699525875876, 0.7607817069644278, 0.9302273456195388, 0.6929572581507341, 0.6694670208806943, 0.6353757981880747, 0.6219785931962307, 0.6131578177379238, 0.5936638910105132, 0.6169120086503751, 0.619586900087318]","[1.0059880018234253, 1.0059818506240845, 1.0025236758920881, 1.0041367167655868, 0.9948250913379169, 0.9868039986701926, 0.9112457771734758, 0.8256584565657558, 0.7086695520489504, 0.9879717832984346, 0.794722686164608, 0.744186391387925, 0.68855324514436, 0.6849607048462135, 0.6736495356156369, 0.6725491573608885, 0.674759578632586, 0.6597440461438112, 0.6565532890473953, 0.6532672736018595]","[1.0059880018234253, 1.0059421908975852, 1.0050595240400295, 0.9948774723573165, 0.8297871680392159, 0.8734832940739815, 0.9930852053502593, 0.8182239463052364, 0.9061065119023275, 0.8817453384158587, 0.7278947645606416, 0.7541909786938417, 0.6995445042938897, 0.6992198527092585, 0.6362931491856021, 0.6778509875033238, 0.6332753428606072, 0.6266309687043681, 0.6186877538579884, 0.6152435404724544]","[1.0059880018234253, 1.0059839739943996, 0.989773208914381, 1.0002500923595044, 0.8573620246245404, 0.9035162466343003, 0.9784042864315438, 0.8113359637513305, 0.6920875532955232, 0.7585388686470311, 0.9711257803018647, 0.7292262820282368, 0.7204947188075143, 0.6741094922086205, 0.6323516071911413, 0.6597662627757198, 0.6351023183943647, 0.6091501841641436, 0.6136723216555335, 0.6146764943078913]"
4,"[1.0059880018234253, 1.0059879477818807, 1.0027841550533219, 1.0003780866752972, 0.97621581223878, 0.8292579547202948, 0.9080730026418512, 0.7518324125490405, 0.8705560379136692, 0.7443058444853082, 0.7296838131607181, 0.7677832561159375, 0.709195264446916, 0.6723706206604085, 0.6366594883332951, 0.650875715899347, 0.6273799458703008, 0.6069324982662996, 0.611621472999604, 0.6115073410128102]","[1.0059880018234253, 1.0059878826141357, 1.0059328186150753, 1.00027644510221, 0.9595166608420286, 0.9115815498551937, 0.929309389555093, 0.7283686887043895, 0.8468831312475782, 0.9549775353706245, 0.8015344319680725, 0.7745328888116461, 0.7024434880280134, 0.6814596276542153, 0.6871215573163948, 0.6622668834497231, 0.6442269871842982, 0.6550405951611924, 0.6541519114179443, 0.6395862433208962]","[1.0059880018234253, 1.0059880018234253, 1.0056437206990791, 1.0058470791518086, 0.9310754183025071, 0.8937904247852287, 0.9850425735567555, 0.8752084235952358, 0.9297519518450053, 0.8329410667551889, 0.7916736702395208, 0.8157983917148426, 0.8039499893573799, 0.7978056398365233, 0.7877438631292546, 0.7961872258963006, 0.7756718371402134, 0.7669643601624653, 0.7372005841105875, 0.7696136619827965]","[1.0059880018234253, 1.005984597711852, 1.005704320416306, 1.0049173779680272, 0.9894760739080833, 0.938925458656417, 0.9150276925467482, 0.9396950042428392, 0.735356015228864, 0.7128480549397492, 0.6998815686820131, 0.7262034498982959, 0.6886258572309908, 0.7006782264300067, 0.6923459891478221, 0.6789668665841372, 0.679417034337918, 0.6956954861199013, 0.6813857411585673, 0.6571895314120885]","[1.0059880018234253, 1.0059878826141357, 1.0022441166579121, 0.9441457516135592, 1.0040374763565834, 0.8854211244950391, 0.9580888868522163, 0.8728704212530695, 0.8436733200995609, 0.7930755690522868, 0.7376852560028283, 0.7295168261726698, 0.696517786734333, 0.6980452503294053, 0.67928684547393, 0.674782409750753, 0.6422820462903591, 0.6397544157091114, 0.6327565250876876, 0.6326534700890382]"
5,"[1.0059880018234253, 1.0059520588980781, 1.0059877634048462, 1.0026435323917504, 0.9869737413314857, 0.9272770282535842, 0.9843296591079597, 0.9212481064567662, 0.8775894246649261, 0.828320601320628, 0.8042727037481587, 0.8058052235600924, 0.7789723132415252, 0.7679152689437674, 0.7456859452736498, 0.7534808166279937, 0.7500984264503826, 0.7254634577848694, 0.727293564027006, 0.7156130986141436]","[1.0059880018234253, 1.0059881210327148, 0.9990253983723997, 0.9992647107201393, 0.9726457604193929, 0.9216137277718747, 0.7706753456983904, 0.9624960595369338, 0.7888774332855687, 0.8268224834011059, 0.8787560645528514, 0.8607449839964058, 0.7201561369016917, 0.7131482281287511, 0.6832061096002358, 0.6618496902467627, 0.6570185243616803, 0.6285853078660338, 0.6119334064544452, 0.6310852181776003]","[1.0059880018234253, 1.0059622190456197, 1.0037097588452426, 1.0015453188708334, 0.7387364331053363, 0.8614876038197316, 0.9764436727461189, 0.8468525413461406, 0.9459294481891575, 0.8375181470585592, 0.7702162770415195, 0.8215457964997099, 0.7581844525596108, 0.7345762824380037, 0.7031442414073631, 0.7278030188788067, 0.7022765607063216, 0.6861773137688034, 0.6729188402614208, 0.6661173105902142]","[1.0059881210327148, 1.0059878097399317, 1.0055682584854087, 0.9683745879416514, 0.9391820528109869, 0.9760358434674715, 0.966098985653935, 0.9454417899702534, 0.7471130480609759, 0.944064956072605, 0.8245250651631693, 0.7570244094097253, 0.7199795039856073, 0.7102097369595007, 0.7051785981293881, 0.7094549760026763, 0.6801654854717881, 0.6734261360779555, 0.6432275490267109, 0.6388381548286086]","[1.0059880018234253, 1.005987524986267, 0.9624613097099343, 1.0022788336180677, 0.8775389792852931, 0.8964621035920249, 0.9430931971470515, 0.9583268975790101, 0.9264036658315947, 0.9071615120979271, 0.7570362444598265, 0.8085774400604494, 0.7070410970094229, 0.7012120115892454, 0.6871284588870376, 0.6289653707920301, 0.6159220607262669, 0.6209523757283736, 0.5979106447732809, 0.5926788615533197]"
6,"[1.0059880018234253, 1.0059876441955566, 0.9529325102194391, 0.9996777846235217, 0.9046298755118342, 1.0046512715985076, 0.9474303429174905, 0.8281374988110378, 0.9266019245952066, 0.7569745130791808, 0.7246470259581551, 0.7570666000894224, 0.7256509225236045, 0.7306641538305716, 0.7213803756176823, 0.7044807228084766, 0.6947785514547969, 0.6824912844222001, 0.6664750241977397, 0.6759867699489449]","[1.0059881210327148, 1.0059877529288783, 0.995133508889362, 1.0044338549989642, 0.9541515103464174, 0.9277412303409192, 0.8777172133326531, 0.7969527198675305, 0.705544939272181, 0.7105436371447462, 0.912406614609439, 0.7051845606122956, 0.7043188669976562, 0.7033771396541234, 0.7133776263546462, 0.7122837599344326, 0.7046226901553496, 0.6934998484813806, 0.6851651114646835, 0.6947102646559777]","[1.0059880018234253, 1.0059872141751376, 1.0004569700029162, 0.9050366666762516, 0.9168718416100801, 0.927410844690872, 0.9055996732218097, 0.8683496026137862, 0.7991857522695955, 0.7061571166280545, 0.9348141156121937, 0.7371035092978766, 0.7019195099731889, 0.6741240201755003, 0.676472783455945, 0.665207780813328, 0.6637991462422139, 0.6420718957694492, 0.6264747106908548, 0.6308983452362243]","[1.0059880018234253, 1.0059848614654157, 0.9735841564156792, 1.0058647894859314, 0.9663558960502798, 0.9629671444676139, 0.990139990388745, 0.8985661106398611, 0.901120707934553, 0.7158640065698912, 0.8611656643736242, 0.7979944836265511, 0.6802738945336655, 0.651830281666433, 0.6708070057043524, 0.6576587194971966, 0.6453881077031897, 0.6483840348458652, 0.6503242295513851, 0.6257427374175702]","[1.0059878826141357, 1.0059878826141357, 1.0022078438118251, 1.0059877712317187, 0.8452867626933136, 0.9789973644927294, 0.9537496283228951, 0.8768449474404557, 0.8161458563488542, 0.7987901358637545, 0.7614764261697278, 0.767470387456694, 0.7111840563922217, 0.7078258524744799, 0.6949347884727247, 0.6972250838397127, 0.6980874147830587, 0.6745600965182589, 0.6629146526332456, 0.6397942129966586]"
7,"[1.0059878826141357, 1.0059878826141357, 1.005417230586813, 1.0059274040809785, 0.8585244466891192, 0.9433962029399294, 0.9137419566963658, 0.9622920333014594, 0.8856957884418843, 0.8188313136648651, 0.7448461496438643, 0.8017903055717247, 0.73686036255173, 0.73133813784279, 0.7106039025220606, 0.7278449239845227, 0.7055457209908601, 0.7051683482046079, 0.6888985136030901, 0.694191113921127]","[1.0059880018234253, 1.0059878826141357, 0.996154652954352, 1.0000574927498596, 0.8763602570542182, 0.9791026209400158, 0.9063437858434639, 0.9782628938344994, 0.9364547624431475, 0.8051778004928068, 0.8545212906057185, 0.8192296477851242, 0.7800072835942712, 0.7754404286859613, 0.7466320475710161, 0.6998669462763902, 0.7014770996886672, 0.6493536172731958, 0.6322390214858031, 0.667562041168261]","[1.0059880018234253, 1.005954497414406, 1.0022943168336695, 0.9541177323731509, 0.8498806382038376, 0.9316591681856098, 0.9449543066036822, 0.9144469803601805, 0.8980997025725818, 0.7591981403981194, 0.8867776796296991, 0.7985799320388322, 0.7534548286461469, 0.7406186478998926, 0.7058291868112906, 0.7198910165675962, 0.722935312852414, 0.6772519342179852, 0.6816087743158292, 0.6641422474369256]","[1.0059880018234253, 1.0059876441955566, 1.001264460074781, 0.9827142529174535, 0.9060761647934865, 0.8839642204238911, 0.8806149324744639, 0.8219137666773314, 0.8909636923189115, 0.7490771368635122, 0.6909035652898478, 0.7246321229742031, 0.6819543052502353, 0.6973865670643069, 0.685081194414936, 0.6962500919777938, 0.6923990091244981, 0.6618469364911017, 0.6636866182675868, 0.6725484925418189]","[1.0059880018234253, 1.0059880090482307, 1.004887464034437, 0.9988578038384216, 0.9880363245684691, 0.944810241262118, 0.8822098355160819, 0.8653566428326597, 0.8306137739046655, 0.7160840275326763, 0.7909474521438883, 0.764407165968659, 0.6968107356537472, 0.6702221351636178, 0.662783982174264, 0.6762414447556843, 0.6584306716979152, 0.6550611139096395, 0.6567920840448803, 0.6397104523744848]"
8,"[1.0059880018234253, 1.0059863753029794, 1.0018942891949354, 0.994767459871793, 0.9814270726839701, 0.9299726135441752, 0.7583395959752979, 0.7259270127922899, 0.9347808814951868, 0.723222306378261, 0.69914129439779, 0.7130550541841623, 0.6877723821380524, 0.6917084862336967, 0.6739422685811014, 0.6699440107050568, 0.6755902850387072, 0.652441147936113, 0.6528052581018872, 0.6515895115125059]","[1.0059881210327148, 1.0059878714156874, 1.0056957079425002, 0.9986541491385662, 0.964595915440357, 0.8484223819742299, 0.8249396969618822, 0.7591728063845875, 0.9736767756938934, 0.7932321136587798, 0.9413169745784817, 0.7645319709001166, 0.7449257168956477, 0.7455456601158537, 0.7434690086859645, 0.7341132110658318, 0.7109520104662939, 0.7008254409799672, 0.6703871109870949, 0.6764515769496711]","[1.0059880018234253, 1.0059881210327148, 1.0058127281400893, 1.0054539643875275, 0.8526149380297372, 0.9386612031225002, 0.8911017522426566, 0.7831636159137042, 0.8328118953138891, 0.7513585496460549, 0.7624529505227551, 0.7446403520968226, 0.7473841574908507, 0.7248637695113818, 0.6834872934779134, 0.6766499906913801, 0.6696367928129856, 0.6617169681055979, 0.6272729796050774, 0.6183931200462158]","[1.0059880018234253, 1.0059880542032646, 0.9733033011055956, 1.0022448802837218, 0.9055551772225987, 0.9023385469540202, 0.9204548694268622, 0.8528315198195703, 0.9368872265382246, 0.796667103803519, 0.7592487339630272, 0.7741243728242739, 0.7338383540285356, 0.7008866280964529, 0.6879826370543903, 0.7098129884853508, 0.6659750796613669, 0.6237649704094487, 0.6040881562278126, 0.6117581906086869]","[1.0059880018234253, 1.0059878826141357, 1.0049081695079805, 0.9988429188246679, 0.8929910529201681, 0.8644728517351729, 0.7966543479760488, 0.9925386034960698, 0.7463817604623659, 0.922275710581529, 0.6899438207769635, 0.7111440797360858, 0.6941776581394552, 0.6860983627191698, 0.6680056039401979, 0.6902379542739704, 0.6472005712383926, 0.6387257415417469, 0.6349860386294548, 0.6461785111117243]"
9,"[1.0059878923917058, 1.00598811192946, 1.0059881138079094, 0.9931409357533311, 0.9150893881886897, 0.9248199092619347, 0.8281671926017964, 0.8912235845941486, 0.8951830845077833, 0.723812866089019, 0.7904667468715195, 0.7424367278859471, 0.7024854691236309, 0.71474755462974, 0.69120714545852, 0.6615317916599187, 0.6591813107572421, 0.6590419277699306, 0.6337864326497521, 0.6418857340589919]","[1.0059880018234253, 1.0059874168790952, 0.9922728296120962, 1.0055772071414524, 0.9647456692445158, 0.9007370624698774, 0.9971547142182938, 0.8208774283347707, 0.6711251278056038, 0.7838718194145747, 0.7207898181511296, 0.965842127613347, 0.650732997524919, 0.6413906125242662, 0.6248957592595106, 0.6122443020118006, 0.6078634036610825, 0.5955574918079256, 0.5929350253804163, 0.5899042115232559]","[1.0059881210327148, 1.0059733628985859, 1.0052176559814299, 1.0039655839192747, 0.8090932411286565, 0.8816420679742639, 0.9404063608971509, 0.8422744051254157, 0.8123523582773979, 0.7292676702156814, 0.7629198864207726, 0.9723778817990814, 0.7165281173933034, 0.7070666692654292, 0.6875561078133607, 0.6768756488808477, 0.6854860023777894, 0.6651267732393862, 0.6613378491546168, 0.657170619501008]","[1.0059880018234253, 1.0059881337483725, 1.005843722820282, 0.9480027590797405, 0.8397943625109966, 0.8911660636825995, 0.9310011267300808, 0.9653584570625816, 0.8549939102235466, 0.7907913022872174, 0.7377973390445866, 0.7570267776196653, 0.7161583738706329, 0.7008334702223238, 0.6855116261346171, 0.6922807396421529, 0.6831219296714273, 0.6839682509321156, 0.6807817081098605, 0.6787395631394001]","[1.0059880018234253, 1.0059790168386518, 1.0007950062703606, 0.9174597715639105, 1.0056840212899025, 0.8679379178357847, 0.9237405651807785, 0.854581837906982, 0.858496332033114, 0.7162802327808105, 0.776693423528864, 0.7490857668175842, 0.7079755955392664, 0.6816865864155268, 0.6643180112585877, 0.643650971648067, 0.63930150696274, 0.6368848140582893, 0.6235673282318043, 0.6237982326083713]"
