,time,cluster,nino12,nino3,nino34,nino4,canonical,EMI,C_index_takahashi,E_index_takahashi
0,1905-01-01,7,0.44842282,0.89603513,0.9078606,0.34131926,0.8943741,0.26199108,0.53540045,0.2777632
1,1905-02-01,6,0.01353994,0.72718334,1.0175601,0.42596865,0.66042364,0.5070163,0.72279274,-0.19944438
2,1905-03-01,7,0.45222032,0.86597204,1.0108562,0.45362186,0.8119141,0.46365535,0.72593516,0.22540939
3,1905-04-01,7,1.0700104,1.4614044,1.187639,0.38444358,1.5101392,-0.08091123,0.546553,0.87778866
4,1905-05-01,7,1.6794682,1.634952,1.232823,0.61221284,1.7236992,-0.06347666,0.872815,1.3733617
5,1905-06-01,7,1.4783708,1.5392047,1.2422857,1.0652772,1.6002824,0.32082376,1.6631343,0.9457322
6,1905-07-01,7,1.3925579,1.4535518,1.4185493,0.97623885,1.4504651,0.5838709,1.5203503,0.90443844
7,1905-08-01,7,1.0784645,1.5157814,1.6270857,0.73361564,1.4761087,0.5287902,1.1393001,0.7116567
8,1905-09-01,7,1.052104,1.7538208,1.8127778,1.0397602,1.7260513,0.63767576,1.662382,0.5322239
9,1905-10-01,7,1.0994416,1.4102417,1.3830063,0.8917677,1.4091926,0.37526724,1.4060609,0.6535578
10,1905-11-01,7,0.98412704,1.2436578,1.2229767,0.9679367,1.2535847,0.2548756,1.5470797,0.50015867
11,1905-12-01,7,0.9268628,1.3039957,1.3077726,0.91616374,1.3039138,0.3295452,1.4647921,0.4687809
12,1906-01-01,7,1.0808498,1.1902678,1.1530082,0.5030259,1.1835582,0.01797073,0.74705905,0.8293368
13,1906-02-01,7,1.0317216,0.83153707,0.7108381,0.25904706,0.8291868,-0.04073456,0.33720785,0.9021981
14,1906-03-01,7,0.73305297,0.49352023,0.5641238,0.020329323,0.4479788,-0.03730139,-0.03874545,0.7228883
15,1906-04-01,6,-0.93374574,-0.033088785,0.23430471,0.27377,-0.093286075,0.5493579,0.5587836,-1.0706308
16,1906-05-01,5,-1.4048754,-0.6176865,-0.051600408,0.10861816,-0.7385022,0.5460708,0.32513842,-1.4591845
17,1906-06-01,2,-1.3079157,-0.87242055,-0.27586776,-0.24566746,-0.99783134,0.23599608,-0.28684312,-1.185082
18,1906-07-01,2,-1.3344281,-0.85212344,-0.43445587,-0.2271407,-0.9441832,0.10604362,-0.2526964,-1.2208577
19,1906-08-01,2,-0.73855877,-0.80166197,-0.7333558,-0.35160184,-0.817022,-0.045398504,-0.52386725,-0.56275785
20,1906-09-01,2,-0.7583272,-0.71506137,-0.48559418,-0.09347318,-0.76375806,0.079824656,-0.0830717,-0.7115906
21,1906-10-01,2,-1.1090829,-0.59512573,-0.14785753,-0.032075845,-0.71278554,0.31181133,0.056379355,-1.093045
22,1906-11-01,2,-1.0948361,-0.7354369,-0.38885766,-0.16812834,-0.829521,0.24457213,-0.17633457,-1.010772
23,1906-12-01,2,-0.9786675,-0.73414296,-0.68172634,-0.58429414,-0.75456506,-0.098394215,-0.8954333,-0.68652046
24,1907-01-01,5,0.0870851,-0.5903948,-0.7471844,-0.15127726,-0.557931,-0.029382307,-0.26587984,0.16272372
25,1907-02-01,3,0.07888422,-0.712234,-0.7896309,-0.29254237,-0.6891924,-0.22441551,-0.50521046,0.22515541
26,1907-03-01,5,-0.28633386,-0.6238511,-0.7003633,-0.27005404,-0.5876132,-0.26540372,-0.4304585,-0.15130684
27,1907-04-01,5,-0.2517189,-0.48463026,-0.4030048,-0.10624691,-0.48744932,-0.01759093,-0.15544786,-0.19859545
28,1907-05-01,5,-0.44723237,-0.25655186,-0.14132956,-0.24691522,-0.28200373,-0.13147287,-0.37503263,-0.32377476
29,1907-06-01,5,-0.76117516,-0.092776395,-0.033438403,0.031179676,-0.088735595,-0.1173411,0.12912297,-0.776765
30,1907-07-01,5,-0.036262415,0.02855657,-0.06480928,-0.0013467245,0.05429244,-0.03428635,0.00133681,-0.035589054
31,1907-08-01,6,0.36156505,0.32834268,0.3739889,0.473377,0.31260765,0.2840974,0.7685844,0.12487656
32,1907-09-01,6,0.27361125,0.10118353,0.18684928,0.71722054,0.096861266,0.41569912,1.1919138,-0.084999025
33,1907-10-01,6,-0.16067503,0.09289979,0.30551538,0.60405684,0.057934403,0.35256922,1.0429641,-0.46270347
34,1907-11-01,5,0.08689475,0.03637929,0.015412161,0.4942821,0.06490661,0.008237213,0.8315901,-0.1602463
35,1907-12-01,5,-0.42397153,-0.05063804,-0.0098211765,0.48580042,-0.039476678,0.24221197,0.8682579,-0.6668717
36,1908-01-01,6,-0.5050228,-0.057876807,0.3338452,0.84606665,-0.12684686,0.7959107,1.4888157,-0.9280561
37,1908-02-01,5,-0.31497622,-0.117492646,0.31405264,0.366299,-0.21059613,0.22595999,0.6542059,-0.49812573
38,1908-03-01,5,-0.6720206,-0.26229402,0.031046003,0.16266939,-0.31947678,0.22320992,0.34374005,-0.7533553
39,1908-04-01,2,-0.97001135,-0.5247054,-0.49190217,-0.028365338,-0.49977785,0.002110362,0.048780058,-0.95582867
40,1908-05-01,2,-1.2012186,-0.5633914,-0.42617902,-0.06927103,-0.58636546,0.12685804,0.0023611113,-1.1665831
41,1908-06-01,3,-0.9618774,-0.460718,-0.27844343,-0.8016062,-0.5169715,-0.3019126,-1.2665428,-0.5610743
42,1908-07-01,3,-0.84308904,-0.39566597,-0.1467542,-0.93827754,-0.4733316,-0.17223835,-1.510763,-0.37395027
43,1908-08-01,2,-0.7140357,-0.45228624,-0.30558485,-0.36903042,-0.49574858,0.14323914,-0.55594814,-0.5295205
44,1908-09-01,2,-0.61662877,-0.6329413,-0.49196196,-0.47319168,-0.6805265,-0.046298716,-0.74276304,-0.38003293
45,1908-10-01,2,-0.19096474,-0.75248593,-0.69181466,-0.58222425,-0.7818727,-0.2727481,-0.97068477,0.10014738
46,1908-11-01,3,-0.20017393,-0.79976946,-0.7201627,-0.68851274,-0.8316199,-0.3741014,-1.1504543,0.14408244
47,1908-12-01,1,-0.10914007,-0.9999569,-1.139405,-0.77769935,-0.9730409,-0.4710229,-1.311175,0.2797096
48,1909-01-01,1,-0.7830076,-1.2343997,-1.3023067,-0.73932534,-1.2047551,-0.50668824,-1.1785524,-0.41334495
49,1909-02-01,2,-1.8426455,-0.95625144,-1.0284042,-0.61640763,-0.9261486,-0.16748725,-0.8636285,-1.5344417
50,1909-03-01,2,-1.4478309,-0.75229526,-0.5469994,0.09965829,-0.75750387,0.36847484,0.3142022,-1.49766
51,1909-04-01,2,-1.3049426,-0.71639746,-0.56243867,-0.3511779,-0.7196462,-0.04153815,-0.46650818,-1.1293536
52,1909-05-01,3,-1.1216155,-0.7251287,-0.5266169,-0.7366754,-0.76330626,-0.34681946,-1.1401867,-0.75327784
53,1909-06-01,3,-1.0047679,-0.6061782,-0.5828129,-0.53524655,-0.6024444,-0.111550584,-0.80944234,-0.7371446
54,1909-07-01,3,-0.83237183,-0.6227742,-0.6699164,-0.4868164,-0.5978841,-0.286358,-0.74435073,-0.5889636
55,1909-08-01,3,-0.84010667,-0.76615983,-0.66853833,-0.3604603,-0.7754262,-0.22171636,-0.5287719,-0.6598765
56,1909-09-01,1,-0.79128337,-1.2088332,-1.2592975,-0.6474166,-1.1799716,-0.4580314,-1.0214798,-0.46757507
57,1909-10-01,1,-0.7056354,-1.36869,-1.3622358,-0.8617341,-1.3545943,-0.51439095,-1.3943844,-0.27476838
58,1909-11-01,1,-1.3661455,-1.4758257,-1.2744429,-0.9672043,-1.5023282,-0.30721337,-1.5076327,-0.8825433
59,1909-12-01,1,-1.3097091,-1.549543,-1.3131229,-0.80602616,-1.5835364,-0.12797639,-1.2392735,-0.90669596
60,1910-01-01,1,-0.9493801,-1.341026,-1.4404758,-1.0532651,-1.31444,-0.6051616,-1.6956127,-0.42274755
61,1910-02-01,1,-0.11393198,-1.0995697,-1.5360879,-1.2709734,-0.992705,-0.8722153,-2.1492617,0.5215547
62,1910-03-01,1,-1.6966238,-1.4725937,-1.8109779,-1.6331428,-1.3661985,-0.9226797,-2.6066804,-0.8800524
63,1910-04-01,1,-2.105033,-1.3878994,-0.97373927,-0.8051357,-1.4553993,0.008492112,-1.1582274,-1.702465
64,1910-05-01,1,-1.2584834,-0.87869525,-0.826218,-0.46796364,-0.856322,-0.123777136,-0.66968983,-1.0245016
65,1910-06-01,3,-0.5563345,-0.61062104,-0.76801413,-0.41776252,-0.55271643,-0.21558993,-0.6545629,-0.34745324
66,1910-07-01,3,-0.016673133,-0.6661591,-0.9575616,-1.0914791,-0.60980165,-0.7749623,-1.8538471,0.5290664
67,1910-08-01,3,0.49233988,-0.70254785,-1.0242385,-1.1660511,-0.6209861,-1.0201511,-2.031521,1.0753654
68,1910-09-01,3,0.31307665,-0.6892188,-1.1322155,-0.97311705,-0.5774889,-1.1840165,-1.6856067,0.7996352
69,1910-10-01,3,0.21448673,-0.61344546,-0.95879966,-0.9171252,-0.5265484,-1.044912,-1.5805616,0.67304933
70,1910-11-01,3,-0.50593835,-0.64094096,-0.8247674,-0.7714531,-0.5883013,-0.6536474,-1.2608764,-0.12021181
71,1910-12-01,3,-0.3994714,-0.73530895,-0.9483116,-0.8133939,-0.68470895,-0.40169984,-1.3428226,0.0072255433
72,1911-01-01,3,-0.044681504,-0.72260803,-0.91751194,-0.6116943,-0.6814944,-0.29251277,-1.0354121,0.26116562
73,1911-02-01,2,-0.57567793,-0.8221348,-0.8111044,-0.13003267,-0.8065589,0.14340438,-0.16348776,-0.5106616
74,1911-03-01,2,-0.92983645,-0.8544838,-0.70942456,-0.33273983,-0.873278,0.11338121,-0.47267407,-0.76346654
75,1911-04-01,3,-0.6165886,-0.34513712,-0.42782012,-0.11570871,-0.3173682,0.20372085,-0.13504595,-0.55873424
76,1911-05-01,3,0.38871622,-0.13610467,-0.26158026,-0.39140597,-0.12202823,-0.086094886,-0.70426184,0.5844192
77,1911-06-01,4,0.91410094,0.7056624,0.30244544,-0.39493245,0.778561,-0.21137585,-0.76279527,1.1115671
78,1911-07-01,4,0.9298283,0.9020524,0.6944343,-0.04821689,0.930004,-0.00094014406,-0.17495155,0.95393676
79,1911-08-01,7,1.1826482,1.0144873,0.755815,0.16093352,1.0638081,0.0633374,0.15532216,1.1021814
80,1911-09-01,7,1.2184614,0.981123,0.51231635,0.16268532,1.0895993,-0.12052992,0.1547189,1.1371187
81,1911-10-01,7,1.594944,1.6191416,1.348246,0.81879216,1.691877,0.20459709,1.2324523,1.185548
82,1911-11-01,7,1.6038368,1.6566983,1.4090762,0.72225785,1.7216032,0.22482377,1.0674547,1.2427078
83,1911-12-01,8,1.8255292,1.8666667,1.6472938,0.6813224,1.9156519,0.068286896,0.97569513,1.484868
84,1912-01-01,8,2.1791115,1.7234985,1.6720073,0.50783193,1.6916494,0.027409762,0.64540315,1.9251955
85,1912-02-01,7,1.6711621,1.6054373,1.5220993,0.45642513,1.5838234,0.06889336,0.6088065,1.4429495
86,1912-03-01,7,1.556596,1.3062146,1.438719,0.6250468,1.2451948,0.33610046,0.90692,1.2440727
87,1912-04-01,7,0.890838,0.9599176,1.0939351,0.91227835,0.913194,0.5998746,1.4617895,0.43469885
88,1912-05-01,6,-0.1521976,0.5189181,0.82512176,0.80620795,0.46021032,0.63695407,1.3857734,-0.55530155
89,1912-06-01,6,-0.0037325472,0.08700908,0.18914841,0.5502055,0.068180114,0.42829597,0.93572265,-0.2788353
90,1912-07-01,6,-0.07139762,0.10313398,0.14066806,0.3813135,0.088078484,0.32862937,0.65537274,-0.26205438
91,1912-08-01,6,0.21217479,0.15498525,0.40526694,0.71253604,0.079288244,0.59973365,1.1900939,-0.14409323
92,1912-09-01,4,0.84461176,0.024381151,-0.18510377,0.36618152,0.059399497,0.033448502,0.53804743,0.661521
93,1912-10-01,5,0.45383662,-0.016929282,-0.19822687,0.36497286,0.011540922,0.049198918,0.57507026,0.2713502
94,1912-11-01,5,-0.0444095,-0.18202676,-0.33344987,0.43962225,-0.1510239,0.26227447,0.7517988,-0.26422063
95,1912-12-01,5,-0.024853528,-0.12537326,-0.28049597,0.4434877,-0.09688179,0.2796035,0.7564145,-0.24659738
96,1913-01-01,4,0.8362256,0.03944381,-0.04246717,0.51105124,0.056687832,0.17444108,0.78516454,0.58070004
97,1913-02-01,4,0.29786223,0.20766594,0.03565199,0.18532741,0.24477711,-0.044642285,0.28527036,0.20519853
98,1913-03-01,5,-0.74083936,-0.17152607,0.018450566,0.110588886,-0.22276855,0.16594477,0.26208505,-0.7961338
99,1913-04-01,5,-1.3233124,-0.009769815,0.35974696,0.13753615,-0.098213576,0.492053,0.3661427,-1.3920804
100,1913-05-01,5,-1.0881261,0.20134048,0.55416954,-0.020370305,0.11432562,0.24141206,0.07418309,-1.077941
101,1913-06-01,4,-0.0022013113,0.45945597,0.5410129,-0.051480748,0.42096668,-0.18267122,-0.08729714,0.023539063
102,1913-07-01,4,0.47262064,0.58560854,0.55672807,0.13267027,0.57225615,-0.12868714,0.1782774,0.4062855
103,1913-08-01,6,0.77824557,0.7328122,0.5212889,0.5414773,0.7645673,0.13154994,0.84268695,0.5075069
104,1913-09-01,6,0.84138066,0.67753124,0.3909447,0.6550156,0.73536265,0.29545367,1.0293885,0.51387286
105,1913-10-01,7,1.4207262,0.557168,0.40883058,0.8129856,0.5863162,0.2548185,1.2400029,1.0142334
106,1913-11-01,7,1.7012941,0.8844102,0.9586946,1.1460165,0.87327206,0.34230483,1.7780987,1.1282859
107,1913-12-01,7,1.729297,1.3546176,1.4794245,1.1720855,1.3149216,0.29174256,1.8196158,1.1432543
108,1914-01-01,7,1.5437105,1.3804421,1.5604883,1.0140874,1.332345,0.28536946,1.5695777,1.0366668
109,1914-02-01,7,0.37770963,0.9143521,1.0806568,0.8737113,0.89355266,0.43620571,1.4475383,-0.059146017
110,1914-03-01,6,0.6170273,0.6900386,0.917222,1.0899963,0.64087903,0.61999834,1.7912911,0.072029114
111,1914-04-01,6,-0.2113663,0.5443861,0.59563124,0.94040984,0.5569593,0.5647037,1.6198335,-0.68157125
112,1914-05-01,6,-0.45677322,0.7582171,0.93496543,1.0240322,0.7373754,0.65055835,1.7865322,-0.96878934
113,1914-06-01,6,-0.5903621,0.6023575,0.5806429,0.50856537,0.6162137,0.380547,0.92359734,-0.8446448
114,1914-07-01,7,-0.34521103,0.9272348,1.0147654,0.6661167,0.9103737,0.4254654,1.1669196,-0.6782694
115,1914-08-01,7,0.18437165,1.0250816,1.191939,0.8677376,0.9679062,0.67570454,1.4567168,-0.24949715
116,1914-09-01,7,0.1581235,1.4622265,1.6410503,0.9872875,1.4048002,0.72593737,1.6625764,-0.33552027
117,1914-10-01,7,0.34420872,1.470671,1.8367355,1.124882,1.3743255,0.8285285,1.8778785,-0.21823227
118,1914-11-01,7,1.0343536,1.3677944,1.4567482,1.1159877,1.3409935,0.55275977,1.7937437,0.47635978
119,1914-12-01,7,1.0672431,1.2430941,1.6947367,1.4091618,1.1394228,0.79549223,2.2888508,0.3626622
120,1915-01-01,7,0.568249,1.394653,1.6076095,1.3484446,1.3461789,0.8058159,2.2355309,-0.1059733
121,1915-02-01,7,0.4617383,0.8035615,1.378537,1.3847178,0.6902702,0.984021,2.3078465,-0.23062062
122,1915-03-01,6,0.6580857,0.35662332,0.6691648,1.3004655,0.314506,0.6630596,2.1449828,0.007852972
123,1915-04-01,7,0.67902493,0.40765294,1.0919161,1.8009741,0.29229182,1.3447545,2.9937534,-0.22146213
124,1915-05-01,6,0.18500304,0.6603031,1.1189286,1.5390368,0.6027391,1.2421132,2.5978622,-0.58451533
125,1915-06-01,7,0.55111855,0.6834214,0.72801805,0.32989687,0.67606825,0.29308796,0.50571287,0.38617012
126,1915-07-01,4,0.63509846,0.4772528,0.1561838,0.07938401,0.55894786,-0.34004936,0.07144297,0.5954065
127,1915-08-01,5,0.3852327,-0.16718967,-0.26633435,-0.10053277,-0.13764787,-0.48698455,-0.20942898,0.43549907
128,1915-09-01,5,0.005860392,-0.49190918,-0.4460884,-0.22139415,-0.47261548,-0.60356444,-0.3769561,0.116557464
129,1915-10-01,2,-0.22454587,-0.78940105,-0.84706813,-0.48266363,-0.76256907,-0.380113,-0.79807365,0.01678595
130,1915-11-01,2,-1.2727729,-1.2078452,-1.1676989,-0.61013085,-1.1869445,-0.17078635,-0.9099452,-0.9677075
131,1915-12-01,2,-1.2798085,-1.1116633,-1.1191182,-0.9210706,-1.1056122,-0.3396825,-1.4378392,-0.81927323
132,1916-01-01,2,-1.7185962,0.024764022,-0.44534382,-0.90761834,0.10607886,-0.16051479,-1.3710916,-1.2647871
133,1916-02-01,3,-1.4326978,-0.120937586,-0.65542436,-1.2886488,-0.027417189,-0.50604093,-2.0474334,-0.78837335
134,1916-03-01,5,-0.8015846,-0.03880626,-0.28584382,-0.31151298,0.024266506,-0.07381484,-0.4494136,-0.6458281
135,1916-04-01,2,-1.0309566,-1.1625253,-1.151378,-0.4024454,-1.1541017,-0.03156954,-0.58106154,-0.8297339
136,1916-05-01,2,-1.3781312,-1.0012313,-0.48322073,0.15996215,-1.0904146,0.59547573,0.4097488,-1.4581122
137,1916-06-01,2,-1.8016093,-1.337691,-0.9960292,-0.27653557,-1.3816507,0.39131913,-0.28994954,-1.6633415
138,1916-07-01,2,-2.415737,-1.502231,-0.53375554,-0.24576442,-1.6913961,0.5015659,-0.17622584,-2.2928548
139,1916-08-01,2,-2.1457968,-1.5833112,-0.7881969,-0.21470067,-1.7365856,0.33411554,-0.15041147,-2.0384464
140,1916-09-01,1,-1.3210834,-1.5238441,-1.0827599,-0.7538029,-1.6066469,-0.2645794,-1.1493566,-0.944182
141,1916-10-01,1,-1.5270767,-1.8053566,-1.8164564,-1.4549071,-1.8065212,-0.7454395,-2.3206346,-0.7996232
142,1916-11-01,1,-1.3612614,-1.9393368,-2.2640414,-2.185693,-1.8720375,-1.3975536,-3.5795522,-0.26841486
143,1916-12-01,1,-1.3406576,-1.8937436,-2.1415408,-2.3005207,-1.840258,-1.4463012,-3.7768195,-0.19039726
144,1917-01-01,1,-1.249003,-2.146767,-2.36282,-2.458043,-2.0787132,-1.4518096,-4.053773,-0.019981503
145,1917-02-01,1,-1.1485755,-1.8624169,-1.7126478,-2.4548733,-1.9146025,-1.2577873,-4.058427,0.07886112
146,1917-03-01,1,-0.14682537,-1.8468298,-1.392698,-2.023651,-1.9815603,-1.0793359,-3.425524,0.86500007
147,1917-04-01,1,0.3772393,-0.11832491,-0.71654636,-2.217218,-0.033658765,-1.4045551,-3.8069947,1.4858482
148,1917-05-01,3,0.3111566,0.22081266,-0.70949125,-1.7144699,0.40970033,-1.2470411,-2.9457147,1.1683916
149,1917-06-01,3,0.59222394,0.078722976,-0.9124425,-1.6693468,0.29711646,-1.4491856,-2.8971121,1.4268973
150,1917-07-01,3,0.7261981,0.067043565,-1.0303857,-1.6667557,0.30546874,-1.5765635,-2.9061046,1.5595759
151,1917-08-01,3,1.1515232,0.023392031,-1.3548799,-1.9999416,0.31261927,-2.0394788,-3.515053,2.151494
152,1917-09-01,1,0.38143122,-1.0181319,-1.0362575,-0.8366664,-1.0020099,-0.64835405,-1.460476,0.7997644
153,1917-10-01,1,-0.09672113,-1.7684765,-1.7326548,-1.0704997,-1.7637755,-0.665194,-1.8101773,0.43852872
154,1917-11-01,1,-0.5171828,-1.493941,-1.6084898,-0.73242325,-1.4514811,-0.45035163,-1.1934013,-0.1509712
